code,name,full_name
150206,白云鄂博矿区,内蒙古自治区包头市白云鄂博矿区
150207,九原区,内蒙古自治区包头市九原区
150221,土默特右旗,内蒙古自治区包头市土默特右旗
150222,固阳县,内蒙古自治区包头市固阳县
150223,达尔罕茂明安联合旗,内蒙古自治区包头市达尔罕茂明安联合旗
150300,乌海市,内蒙古自治区乌海市
150302,海勃湾区,内蒙古自治区乌海市海勃湾区
150303,海南区,内蒙古自治区乌海市海南区
150304,乌达区,内蒙古自治区乌海市乌达区
150400,赤峰市,内蒙古自治区赤峰市
150402,红山区,内蒙古自治区赤峰市红山区
150403,元宝山区,内蒙古自治区赤峰市元宝山区
150404,松山区,内蒙古自治区赤峰市松山区
150421,阿鲁科尔沁旗,内蒙古自治区赤峰市阿鲁科尔沁旗
150422,巴林左旗,内蒙古自治区赤峰市巴林左旗
150423,巴林右旗,内蒙古自治区赤峰市巴林右旗
150424,林西县,内蒙古自治区赤峰市林西县
150425,克什克腾旗,内蒙古自治区赤峰市克什克腾旗
150426,翁牛特旗,内蒙古自治区赤峰市翁牛特旗
150428,喀喇沁旗,内蒙古自治区赤峰市喀喇沁旗
150429,宁城县,内蒙古自治区赤峰市宁城县
150430,敖汉旗,内蒙古自治区赤峰市敖汉旗
150500,通辽市,内蒙古自治区通辽市
150502,科尔沁区,内蒙古自治区通辽市科尔沁区
150521,科尔沁左翼中旗,内蒙古自治区通辽市科尔沁左翼中旗
150522,科尔沁左翼后旗,内蒙古自治区通辽市科尔沁左翼后旗
150523,开鲁县,内蒙古自治区通辽市开鲁县
150524,库伦旗,内蒙古自治区通辽市库伦旗
150525,奈曼旗,内蒙古自治区通辽市奈曼旗
150526,扎鲁特旗,内蒙古自治区通辽市扎鲁特旗
150581,霍林郭勒市,内蒙古自治区通辽市霍林郭勒市
150600,鄂尔多斯市,内蒙古自治区鄂尔多斯市
150602,东胜区,内蒙古自治区鄂尔多斯市东胜区
150603,康巴什区,内蒙古自治区鄂尔多斯市康巴什区
150621,达拉特旗,内蒙古自治区鄂尔多斯市达拉特旗
150622,准格尔旗,内蒙古自治区鄂尔多斯市准格尔旗
150623,鄂托克前旗,内蒙古自治区鄂尔多斯市鄂托克前旗
150624,鄂托克旗,内蒙古自治区鄂尔多斯市鄂托克旗
150625,杭锦旗,内蒙古自治区鄂尔多斯市杭锦旗
150626,乌审旗,内蒙古自治区鄂尔多斯市乌审旗
150627,伊金霍洛旗,内蒙古自治区鄂尔多斯市伊金霍洛旗
150700,呼伦贝尔市,内蒙古自治区呼伦贝尔市
150702,海拉尔区,内蒙古自治区呼伦贝尔市海拉尔区
150703,扎赉诺尔区,内蒙古自治区呼伦贝尔市扎赉诺尔区
150721,阿荣旗,内蒙古自治区呼伦贝尔市阿荣旗
150722,莫力达瓦达斡尔族自治旗,内蒙古自治区呼伦贝尔市莫力达瓦达斡尔族自治旗
150723,鄂伦春自治旗,内蒙古自治区呼伦贝尔市鄂伦春自治旗
150724,鄂温克族自治旗,内蒙古自治区呼伦贝尔市鄂温克族自治旗
150725,陈巴尔虎旗,内蒙古自治区呼伦贝尔市陈巴尔虎旗
150726,新巴尔虎左旗,内蒙古自治区呼伦贝尔市新巴尔虎左旗
150727,新巴尔虎右旗,内蒙古自治区呼伦贝尔市新巴尔虎右旗
150781,满洲里市,内蒙古自治区呼伦贝尔市满洲里市
150782,牙克石市,内蒙古自治区呼伦贝尔市牙克石市
150783,扎兰屯市,内蒙古自治区呼伦贝尔市扎兰屯市
150784,额尔古纳市,内蒙古自治区呼伦贝尔市额尔古纳市
150785,根河市,内蒙古自治区呼伦贝尔市根河市
150800,巴彦淖尔市,内蒙古自治区巴彦淖尔市
150802,临河区,内蒙古自治区巴彦淖尔市临河区
150821,五原县,内蒙古自治区巴彦淖尔市五原县
150822,磴口县,内蒙古自治区巴彦淖尔市磴口县
150823,乌拉特前旗,内蒙古自治区巴彦淖尔市乌拉特前旗
150824,乌拉特中旗,内蒙古自治区巴彦淖尔市乌拉特中旗
150825,乌拉特后旗,内蒙古自治区巴彦淖尔市乌拉特后旗
150826,杭锦后旗,内蒙古自治区巴彦淖尔市杭锦后旗
150900,乌兰察布市,内蒙古自治区乌兰察布市
150902,集宁区,内蒙古自治区乌兰察布市集宁区
150921,卓资县,内蒙古自治区乌兰察布市卓资县
150922,化德县,内蒙古自治区乌兰察布市化德县
150923,商都县,内蒙古自治区乌兰察布市商都县
150924,兴和县,内蒙古自治区乌兰察布市兴和县
150925,凉城县,内蒙古自治区乌兰察布市凉城县
150926,察哈尔右翼前旗,内蒙古自治区乌兰察布市察哈尔右翼前旗
150927,察哈尔右翼中旗,内蒙古自治区乌兰察布市察哈尔右翼中旗
150928,察哈尔右翼后旗,内蒙古自治区乌兰察布市察哈尔右翼后旗
150929,四子王旗,内蒙古自治区乌兰察布市四子王旗
150981,丰镇市,内蒙古自治区乌兰察布市丰镇市
152200,兴安盟,内蒙古自治区兴安盟
152201,乌兰浩特市,内蒙古自治区兴安盟乌兰浩特市
152202,阿尔山市,内蒙古自治区兴安盟阿尔山市
152221,科尔沁右翼前旗,内蒙古自治区兴安盟科尔沁右翼前旗
152222,科尔沁右翼中旗,内蒙古自治区兴安盟科尔沁右翼中旗
152223,扎赉特旗,内蒙古自治区兴安盟扎赉特旗
152224,突泉县,内蒙古自治区兴安盟突泉县
152500,锡林郭勒盟,内蒙古自治区锡林郭勒盟
152501,二连浩特市,内蒙古自治区锡林郭勒盟二连浩特市
152502,锡林浩特市,内蒙古自治区锡林郭勒盟锡林浩特市
152522,阿巴嘎旗,内蒙古自治区锡林郭勒盟阿巴嘎旗
152523,苏尼特左旗,内蒙古自治区锡林郭勒盟苏尼特左旗
152524,苏尼特右旗,内蒙古自治区锡林郭勒盟苏尼特右旗
152525,东乌珠穆沁旗,内蒙古自治区锡林郭勒盟东乌珠穆沁旗
152526,西乌珠穆沁旗,内蒙古自治区锡林郭勒盟西乌珠穆沁旗
152527,太仆寺旗,内蒙古自治区锡林郭勒盟太仆寺旗
152528,镶黄旗,内蒙古自治区锡林郭勒盟镶黄旗
152529,正镶白旗,内蒙古自治区锡林郭勒盟正镶白旗
152530,正蓝旗,内蒙古自治区锡林郭勒盟正蓝旗
152531,多伦县,内蒙古自治区锡林郭勒盟多伦县
152900,阿拉善盟,内蒙古自治区阿拉善盟
152921,阿拉善左旗,内蒙古自治区阿拉善盟阿拉善左旗
152922,阿拉善右旗,内蒙古自治区阿拉善盟阿拉善右旗
152923,额济纳旗,内蒙古自治区阿拉善盟额济纳旗
210000,辽宁省,辽宁省
210100,沈阳市,辽宁省沈阳市
210102,和平区,辽宁省沈阳市和平区
210103,沈河区,辽宁省沈阳市沈河区
210104,大东区,辽宁省沈阳市大东区
210105,皇姑区,辽宁省沈阳市皇姑区
210106,铁西区,辽宁省沈阳市铁西区
210111,苏家屯区,辽宁省沈阳市苏家屯区
210112,浑南区,辽宁省沈阳市浑南区
210113,沈北新区,辽宁省沈阳市沈北新区
210114,于洪区,辽宁省沈阳市于洪区
210115,辽中区,辽宁省沈阳市辽中区
210123,康平县,辽宁省沈阳市康平县
210124,法库县,辽宁省沈阳市法库县
210181,新民市,辽宁省沈阳市新民市
210200,大连市,辽宁省大连市
210202,中山区,辽宁省大连市中山区
210203,西岗区,辽宁省大连市西岗区
210204,沙河口区,辽宁省大连市沙河口区
210211,甘井子区,辽宁省大连市甘井子区
210212,旅顺口区,辽宁省大连市旅顺口区
210213,金州区,辽宁省大连市金州区
210214,普兰店区,辽宁省大连市普兰店区
210224,长海县,辽宁省大连市长海县
210281,瓦房店市,辽宁省大连市瓦房店市
210283,庄河市,辽宁省大连市庄河市
210300,鞍山市,辽宁省鞍山市
210302,铁东区,辽宁省鞍山市铁东区
210303,铁西区,辽宁省鞍山市铁西区
210304,立山区,辽宁省鞍山市立山区
210311,千山区,辽宁省鞍山市千山区
210321,台安县,辽宁省鞍山市台安县
210323,岫岩满族自治县,辽宁省鞍山市岫岩满族自治县
210381,海城市,辽宁省鞍山市海城市
210400,抚顺市,辽宁省抚顺市
210402,新抚区,辽宁省抚顺市新抚区
210403,东洲区,辽宁省抚顺市东洲区
210404,望花区,辽宁省抚顺市望花区
210411,顺城区,辽宁省抚顺市顺城区
210421,抚顺县,辽宁省抚顺市抚顺县
210422,新宾满族自治县,辽宁省抚顺市新宾满族自治县
210423,清原满族自治县,辽宁省抚顺市清原满族自治县
210500,本溪市,辽宁省本溪市
210502,平山区,辽宁省本溪市平山区
